Date, Open, High, Low, Close
11/16/21,16170.29,16329.50,16156.69,16309.77
11/15/21,16227.01,16256.73,16096.37,16189.12
11/12/21,16078.13,16218.55,16012.78,16199.89
11/11/21,16114.05,16116.25,16019.39,16032.47
11/10/21,16087.01,16224.51,15905.28,15985.57
11/09/21,16389.99,16401.89,16168.63,16219.94
11/08/21,16351.49,16401.93,16314.00,16336.03
11/05/21,16397.59,16454.48,16302.06,16359.38
11/04/21,16193.22,16387.95,16169.56,16346.24
11/03/21,16000.60,16157.60,15950.59,16144.50
11/02/21,15885.34,15988.33,15877.27,15972.49
11/01/21,15879.61,15910.35,15785.31,15905.28
10/29/21,15638.74,15856.90,15638.74,15850.47
10/28/21,15674.39,15784.00,15650.01,15778.16
10/27/21,15603.16,15729.75,15578.68,15598.39
10/26/21,15615.36,15710.79,15518.59,15559.49
10/25/21,15417.25,15555.65,15338.49,15514.19
10/22/21,15422.07,15474.28,15291.95,15355.07
10/21/21,15365.81,15497.58,15350.50,15489.59
10/20/21,15448.00,15457.11,15333.43,15388.71
10/19/21,15349.45,15414.97,15320.62,15410.72
10/18/21,15091.58,15307.51,15074.71,15300.89
10/15/21,15106.97,15150.14,15064.59,15146.92
10/14/21,14925.58,15059.89,14901.59,15052.42
10/13/21,14751.80,14800.83,14676.58,14774.60
10/12/21,14772.29,14784.78,14636.33,14662.11
10/11/21,14765.69,14907.57,14709.05,14713.73
10/08/21,14942.35,14948.35,14805.50,14820.75
10/07/21,14899.07,15010.32,14878.22,14897.13
10/06/21,14529.89,14775.64,14499.48,14766.75
10/05/21,14533.43,14763.64,14520.23,14674.15
10/04/21,14713.60,14727.60,14384.93,14472.12
10/01/21,14731.38,14830.84,14555.12,14791.87
09/30/21,14830.30,14888.22,14684.55,14689.62
09/29/21,14835.51,14914.92,14727.41,14752.89
09/28/21,15001.98,15040.57,14758.98,14770.30
09/27/21,15205.23,15240.58,15106.45,15204.82
09/24/21,15222.97,15345.53,15209.16,15329.68
09/23/21,15231.19,15356.92,15199.43,15316.58
09/22/21,15073.95,15230.34,15029.90,15176.51
09/21/21,15096.98,15139.90,14986.98,15027.77
09/20/21,15068.65,15157.26,14821.03,15012.19
09/17/21,15481.43,15485.21,15291.04,15333.47
